session,dir,entry_ts,entry,exit,pnl,mag_pct,stopped
2022-11-10,1,2022-11-10 10:35:00-05:00,14170.25,14397.75,226.25,0.013680205291567119,False
2022-11-16,-1,2022-11-16 10:00:00-05:00,14552.5,14509.75,41.5,0.002227018878267722,False
2022-12-05,-1,2022-12-05 10:10:00-05:00,14657.25,14571.75,84.25,0.0029271115195452766,False
2022-12-15,-1,2022-12-15 09:55:00-05:00,14260.0,14115.25,143.5,0.0015689829503852724,False
2022-12-22,-1,2022-12-22 09:55:00-05:00,13757.25,13710.0,46.0,0.004004979163284083,False
2022-12-27,-1,2022-12-27 10:00:00-05:00,13584.75,13573.5,10.0,0.003337771535922082,False
2022-12-28,-1,2022-12-28 13:00:00-05:00,13511.0,13425.5,84.25,0.0018811899448553143,False
2023-01-17,1,2023-01-17 12:05:00-05:00,14281.5,14281.75,-1.0,0.0017890656516934733,False
2023-01-25,-1,2023-01-25 10:00:00-05:00,14279.0,14421.79,-144.04000000000087,0.0026101028380518193,True
2023-02-02,1,2023-02-02 14:50:00-05:00,15420.0,15509.75,88.5,0.003586274349987774,False
2023-02-07,-1,2023-02-07 13:35:00-05:00,15118.5,15269.685,-152.4349999999995,0.0015007833759379896,True
2023-02-21,-1,2023-02-21 10:15:00-05:00,14846.25,14752.75,92.25,0.002150031914536231,False
2023-02-24,-1,2023-02-24 09:55:00-05:00,14633.25,14652.5,-20.5,0.0034985920300366923,False
2023-02-27,1,2023-02-27 10:05:00-05:00,14810.75,14738.5,-73.5,0.0033984850534289194,False
2023-03-03,1,2023-03-03 10:10:00-05:00,14801.0,14967.0,164.75,0.0028060922629612726,False
2023-03-07,-1,2023-03-07 10:40:00-05:00,14940.0,14824.25,114.5,0.001885973696508445,False
2023-03-09,1,2023-03-09 10:20:00-05:00,14951.0,14801.49,-150.76000000000022,0.0029192671632776324,True
2023-03-14,1,2023-03-14 13:40:00-04:00,14819.25,14861.75,41.25,0.0017808381811706042,False
2023-03-23,1,2023-03-23 10:10:00-04:00,15444.75,15290.3025,-155.69750000000022,0.0019496344435418359,True
2023-03-29,1,2023-03-29 12:15:00-04:00,15456.75,15501.5,43.5,0.0032588076979198754,False
2023-03-30,1,2023-03-30 10:25:00-04:00,15612.0,15617.5,4.25,0.0024042699834906796,False
2023-04-05,-1,2023-04-05 09:55:00-04:00,15665.25,15612.0,52.0,0.0027058860981122464,False
2023-04-27,1,2023-04-27 10:15:00-04:00,15609.75,15763.75,152.75,0.002263496701073957,False
2023-05-05,1,2023-05-05 09:55:00-04:00,15708.5,15856.25,146.5,0.001850492933031299,False
2023-05-10,1,2023-05-10 10:15:00-04:00,15952.5,15943.25,-10.5,0.0025944620029246662,False
2023-06-29,-1,2023-06-29 10:25:00-04:00,17426.25,17457.0,-32.0,0.00165972728963672,False
2023-06-30,1,2023-06-30 11:50:00-04:00,17655.5,17684.75,28.0,0.0024850188861435347,False
2023-07-06,-1,2023-07-06 10:05:00-04:00,17482.0,17589.5,-108.75,0.0028205529993304747,False
2023-07-12,1,2023-07-12 09:55:00-04:00,17814.0,17805.75,-9.5,0.002755246917918945,False
2023-09-15,-1,2023-09-15 10:05:00-04:00,17666.0,17550.0,114.75,0.0021103873264206423,False
2023-09-19,-1,2023-09-19 13:15:00-04:00,17481.0,17536.0,-56.25,0.0029976447077296408,False
2023-09-26,-1,2023-09-26 10:50:00-04:00,16930.25,16867.75,61.25,0.002149113122838007,False
2023-10-25,-1,2023-10-25 09:55:00-04:00,16782.5,16635.25,146.0,0.0023964142542270083,False
2023-11-01,1,2023-11-01 09:55:00-04:00,16731.5,16901.5,168.75,0.0030578289414515693,False
2023-11-07,1,2023-11-07 10:15:00-05:00,17453.5,17533.5,78.75,0.0026241073733115376,False
2023-11-10,1,2023-11-10 11:05:00-05:00,17562.75,17756.0,192.0,0.0028307146839750097,False
2023-11-14,1,2023-11-14 10:10:00-05:00,18019.0,18037.5,17.25,0.0037977853207946137,False
2023-12-04,-1,2023-12-04 10:20:00-05:00,17963.75,18030.0,-67.5,0.00446701070972754,False
2023-12-07,1,2023-12-07 10:30:00-05:00,18151.25,18194.0,41.5,0.0038136295805007462,False
2024-01-31,-1,2024-01-31 10:20:00-05:00,19294.5,19184.75,108.5,0.0018608257414227563,False
2024-03-15,-1,2024-03-15 11:40:00-04:00,19772.75,19757.0,14.5,0.0045841519318926,False
2024-04-02,-1,2024-04-02 10:20:00-04:00,19909.0,20029.5,-121.75,0.006116705234848959,False
2024-04-22,1,2024-04-22 13:15:00-04:00,19007.75,19049.5,40.5,0.001553674176091851,False
2024-04-23,1,2024-04-23 09:55:00-04:00,19207.25,19306.75,98.25,0.0018951771010325448,False
2024-05-03,1,2024-05-03 09:55:00-04:00,19705.5,19700.25,-6.5,0.003014231752451448,False
2024-06-05,1,2024-06-05 10:25:00-04:00,20574.75,20776.0,200.0,0.002956528087016827,False
2024-06-20,-1,2024-06-20 11:20:00-04:00,21635.25,21473.5,160.5,0.0019484637113045484,False
2024-06-24,-1,2024-06-24 10:45:00-04:00,21299.5,21183.25,115.0,0.0017438934469399937,False
2024-07-17,-1,2024-07-17 10:05:00-04:00,21593.25,21430.75,161.25,0.0022467249662991256,False
2024-07-19,-1,2024-07-19 10:55:00-04:00,21260.25,21151.0,108.0,0.0019360061952198248,False
2024-07-22,1,2024-07-22 10:40:00-04:00,21443.25,21436.25,-8.25,0.0015191707664800813,False
2024-07-31,1,2024-07-31 10:55:00-04:00,20855.75,20934.25,77.25,0.0035801386402681498,False
2024-09-09,1,2024-09-09 10:10:00-04:00,20116.0,20127.0,9.75,0.002616235610704141,False
2024-10-10,-1,2024-10-10 09:55:00-04:00,21542.0,21632.5,-91.75,0.0018666450244055142,False
2024-10-14,1,2024-10-14 10:25:00-04:00,21830.25,21824.5,-7.0,0.0017123287671232876,False
2024-10-23,-1,2024-10-23 11:00:00-04:00,21595.75,21421.5,173.0,0.002287668542246768,False
2024-11-07,1,2024-11-07 10:35:00-05:00,22299.75,22424.75,123.75,0.0018685907898735887,False
2024-11-20,-1,2024-11-20 10:05:00-05:00,21808.0,21955.0,-148.25,0.002277281836400073,False
2024-12-27,-1,2024-12-27 14:10:00-05:00,22572.75,22610.0,-38.5,0.00312050191735065,False
2024-12-30,-1,2024-12-30 10:05:00-05:00,22214.75,22436.8975,-223.39749999999913,0.002890367681656248,True
2025-01-15,1,2025-01-15 10:00:00-05:00,22234.75,22303.0,67.0,0.003170233649604567,False
2025-01-17,1,2025-01-17 13:40:00-05:00,22560.5,22507.25,-54.5,0.008424226301321273,False
2025-03-18,-1,2025-03-18 10:15:00-04:00,20358.0,20406.25,-49.5,0.0021725410234003303,False
2025-04-03,-1,2025-04-03 10:15:00-04:00,19604.25,19386.0,217.0,0.0028155018217952965,False
2025-04-08,1,2025-04-08 10:00:00-04:00,18947.75,18758.2725,-190.72750000000087,0.008594734398832814,True
2025-04-09,1,2025-04-09 13:15:00-04:00,18297.75,19971.75,1672.75,0.01390478849644004,False
2025-04-10,-1,2025-04-10 10:05:00-04:00,19344.5,19183.0,160.25,0.0075420391724279464,False
2025-04-15,1,2025-04-15 09:55:00-04:00,19804.25,19606.2075,-199.29249999999956,0.0034414009422581177,True
2025-04-16,-1,2025-04-16 10:00:00-04:00,19222.75,19414.9775,-193.47750000000087,0.004666960512328554,True
2025-04-17,-1,2025-04-17 11:30:00-04:00,19038.25,19072.75,-35.75,0.0016668185902360892,False
2025-04-22,1,2025-04-22 09:55:00-04:00,18921.5,19079.5,156.75,0.0031959473795883727,False
2025-04-23,1,2025-04-23 10:45:00-04:00,19821.25,19623.0375,-199.46250000000146,0.002150264011705579,True
2025-05-02,1,2025-05-02 10:15:00-04:00,20850.75,20885.25,33.25,0.003198499350680583,False
2025-06-06,1,2025-06-06 14:10:00-04:00,22551.75,22489.25,-63.75,0.002855904610563513,False
2025-07-31,-1,2025-07-31 10:50:00-04:00,24091.0,23842.0,247.75,0.0019495992490432522,False
2025-11-25,-1,2025-11-25 10:05:00-05:00,24933.75,25183.0875,-250.58750000000146,0.00313713773528533,True
2025-12-10,-1,2025-12-10 11:05:00-05:00,25797.25,26055.2225,-259.22249999999985,0.0016896458502297918,True
2025-12-18,1,2025-12-18 12:45:00-05:00,25341.5,25252.0,-90.75,0.004282210530479845,False
2025-12-19,1,2025-12-19 10:05:00-05:00,25568.0,25581.25,12.0,0.0019616154248030993,False
2026-01-05,1,2026-01-05 11:10:00-05:00,25687.5,25587.0,-101.75,0.0037242132355808605,False
